,Date,Temperature
0,2023-01-01,8.2
1,2023-01-02,10.4
2,2023-01-03,8.6
3,2023-01-04,8.8
4,2023-01-05,12.0
5,2023-01-06,10.2
6,2023-01-07,11.4
7,2023-01-08,10.6
8,2023-01-09,9.8
9,2023-01-10,12.0
10,2023-01-11,10.2
11,2023-01-12,13.4
12,2023-01-13,10.6
13,2023-01-14,11.8
14,2023-01-15,14.0
15,2023-01-16,12.2
16,2023-01-17,14.4
17,2023-01-18,12.6
18,2023-01-19,11.8
19,2023-01-20,14.0
20,2023-01-21,14.2
21,2023-01-22,13.4
22,2023-01-23,14.600000000000001
23,2023-01-24,12.8
24,2023-01-25,15.0
25,2023-01-26,13.2
26,2023-01-27,15.4
27,2023-01-28,14.600000000000001
28,2023-01-29,13.8
29,2023-01-30,16.0
30,2023-01-31,15.2
31,2023-02-01,16.7
32,2023-02-02,13.9
33,2023-02-03,16.1
34,2023-02-04,17.3
35,2023-02-05,16.5
36,2023-02-06,15.7
37,2023-02-07,16.9
38,2023-02-08,17.1
39,2023-02-09,15.3
40,2023-02-10,17.5
41,2023-02-11,18.7
42,2023-02-12,18.9
43,2023-02-13,18.1
44,2023-02-14,18.3
45,2023-02-15,17.5
46,2023-02-16,19.7
47,2023-02-17,16.9
48,2023-02-18,19.1
49,2023-02-19,18.3
50,2023-02-20,18.5
51,2023-02-21,18.7
52,2023-02-22,18.9
53,2023-02-23,19.1
54,2023-02-24,20.3
55,2023-02-25,18.5
56,2023-02-26,20.7
57,2023-02-27,21.9
58,2023-02-28,22.1
59,2023-03-01,21.53012701892219
60,2023-03-02,23.73012701892219
61,2023-03-03,22.930127018922192
62,2023-03-04,24.13012701892219
63,2023-03-05,21.33012701892219
64,2023-03-06,21.53012701892219
65,2023-03-07,23.73012701892219
66,2023-03-08,24.930127018922192
67,2023-03-09,25.13012701892219
68,2023-03-10,22.33012701892219
69,2023-03-11,22.53012701892219
70,2023-03-12,23.73012701892219
71,2023-03-13,24.930127018922192
72,2023-03-14,24.13012701892219
73,2023-03-15,24.33012701892219
74,2023-03-16,24.53012701892219
75,2023-03-17,23.73012701892219
76,2023-03-18,23.930127018922192
77,2023-03-19,25.13012701892219
78,2023-03-20,24.33012701892219
79,2023-03-21,26.53012701892219
80,2023-03-22,25.73012701892219
81,2023-03-23,27.930127018922192
82,2023-03-24,26.13012701892219
83,2023-03-25,28.33012701892219
84,2023-03-26,25.53012701892219
85,2023-03-27,28.73012701892219
86,2023-03-28,28.930127018922192
87,2023-03-29,27.13012701892219
88,2023-03-30,26.33012701892219
89,2023-03-31,27.53012701892219
90,2023-04-01,29.2
91,2023-04-02,28.4
92,2023-04-03,29.6
93,2023-04-04,28.8
94,2023-04-05,28.0
95,2023-04-06,28.2
96,2023-04-07,28.4
97,2023-04-08,28.6
98,2023-04-09,27.8
99,2023-04-10,31.0
100,2023-04-11,29.2
101,2023-04-12,29.4
102,2023-04-13,29.6
103,2023-04-14,28.8
104,2023-04-15,32.0
105,2023-04-16,30.2
106,2023-04-17,30.4
107,2023-04-18,31.6
108,2023-04-19,30.8
109,2023-04-20,31.0
110,2023-04-21,33.2
111,2023-04-22,33.4
112,2023-04-23,33.6
113,2023-04-24,31.8
114,2023-04-25,31.0
115,2023-04-26,32.2
116,2023-04-27,34.4
117,2023-04-28,34.6
118,2023-04-29,33.8
119,2023-04-30,35.0
120,2023-05-01,30.530127018922194
121,2023-05-02,33.73012701892219
122,2023-05-03,31.930127018922196
123,2023-05-04,33.13012701892219
124,2023-05-05,34.33012701892219
125,2023-05-06,34.530127018922194
126,2023-05-07,31.730127018922193
127,2023-05-08,33.93012701892219
128,2023-05-09,35.13012701892219
129,2023-05-10,32.3301270189222
130,2023-05-11,32.530127018922194
131,2023-05-12,34.73012701892219
132,2023-05-13,35.93012701892219
133,2023-05-14,36.13012701892219
134,2023-05-15,33.3301270189222
135,2023-05-16,34.530127018922194
136,2023-05-17,36.73012701892219
137,2023-05-18,35.93012701892219
138,2023-05-19,35.130127018922195
139,2023-05-20,34.3301270189222
140,2023-05-21,35.530127018922194
141,2023-05-22,37.73012701892219
142,2023-05-23,37.93012701892219
143,2023-05-24,35.130127018922195
144,2023-05-25,35.3301270189222
145,2023-05-26,37.530127018922194
146,2023-05-27,35.7301270189222
147,2023-05-28,37.93012701892219
148,2023-05-29,37.130127018922195
149,2023-05-30,38.33012701892219
150,2023-05-31,38.530127018922194
151,2023-06-01,37.7
152,2023-06-02,39.9
153,2023-06-03,37.1
154,2023-06-04,38.3
155,2023-06-05,39.5
156,2023-06-06,38.7
